data,mandante,estado_mandante,visitante,estado_visitante,gols_mandante,gols_visitante,temporada,rodada,resultado_mandante
2017-09-18 20:00:00,Palmeiras-SP,SP,Coritiba-PR,PR,1,0,2017,24,V
2017-09-23 19:00:00,Flamengo-RJ,RJ,Avai-SC,SC,1,1,2017,25,E
2017-09-23 21:00:00,Santos-SP,SP,Atletico-PR,PR,1,0,2017,25,V
2017-09-24 11:00:00,Sao Paulo-SP,SP,Corinthians-SP,SP,1,1,2017,25,E
2017-09-24 16:00:00,Chapecoense-SC,SC,Ponte Preta-SP,SP,1,0,2017,25,V
2017-09-24 16:00:00,Atletico-GO,GO,Cruzeiro-MG,MG,1,2,2017,25,D
2017-09-24 16:00:00,Coritiba-PR,PR,Botafogo-RJ,RJ,2,3,2017,25,D
2017-09-24 16:00:00,Fluminense-RJ,RJ,Palmeiras-SP,SP,0,1,2017,25,D
2017-09-24 19:00:00,Atletico-MG,MG,Vitoria-BA,BA,1,3,2017,25,D
2017-09-24 19:00:00,Bahia-BA,BA,Gremio-RS,RS,1,0,2017,25,V
2017-09-25 20:00:00,Sport-PE,PE,Vasco da Gama-RJ,RJ,1,1,2017,25,E
2017-09-30 16:00:00,Vasco da Gama-RJ,RJ,Chapecoense-SC,SC,1,1,2017,26,E
2017-09-30 16:00:00,Bahia-BA,BA,Coritiba-PR,PR,1,1,2017,26,E
2017-09-30 19:00:00,Palmeiras-SP,SP,Santos-SP,SP,0,1,2017,26,D
2017-10-01 16:00:00,Botafogo-RJ,RJ,Vitoria-BA,BA,2,3,2017,26,D
2017-10-01 16:00:00,Sao Paulo-SP,SP,Sport-PE,PE,1,0,2017,26,V
2017-10-01 16:00:00,Cruzeiro-MG,MG,Corinthians-SP,SP,1,1,2017,26,E
2017-10-01 16:00:00,Avai-SC,SC,Atletico-GO,GO,0,2,2017,26,D
2017-10-01 16:00:00,Gremio-RS,RS,Fluminense-RJ,RJ,1,0,2017,26,V
2017-10-01 19:00:00,Atletico-PR,PR,Atletico-MG,MG,0,2,2017,26,D
2017-10-02 20:00:00,Ponte Preta-SP,SP,Flamengo-RJ,RJ,1,0,2017,26,V
2017-10-11 19:30:00,Botafogo-RJ,RJ,Chapecoense-SC,SC,2,1,2017,27,V
2017-10-11 19:30:00,Atletico-PR,PR,Atletico-GO,GO,2,2,2017,27,E
2017-10-11 21:00:00,Corinthians-SP,SP,Coritiba-PR,PR,3,1,2017,27,V
2017-10-11 21:45:00,Atletico-MG,MG,Sao Paulo-SP,SP,1,0,2017,27,V
2017-10-11 21:45:00,Gremio-RS,RS,Cruzeiro-MG,MG,0,1,2017,27,D
2017-10-11 21:45:00,Avai-SC,SC,Vasco da Gama-RJ,RJ,1,2,2017,27,D
2017-10-12 17:00:00,Flamengo-RJ,RJ,Fluminense-RJ,RJ,1,1,2017,27,E
2017-10-12 17:00:00,Vitoria-BA,BA,Sport-PE,PE,1,2,2017,27,D
2017-10-12 17:00:00,Ponte Preta-SP,SP,Santos-SP,SP,1,1,2017,27,E
2017-10-12 21:00:00,Palmeiras-SP,SP,Bahia-BA,BA,2,2,2017,27,E
2017-10-07 16:00:00,Cruzeiro-MG,MG,Ponte Preta-SP,SP,2,1,2017,28,V
2017-10-14 19:00:00,Vasco da Gama-RJ,RJ,Botafogo-RJ,RJ,1,0,2017,28,V
2017-10-14 21:00:00,Sao Paulo-SP,SP,Atletico-PR,PR,2,1,2017,28,V
2017-10-15 17:00:00,Fluminense-RJ,RJ,Avai-SC,SC,1,0,2017,28,V
2017-10-15 17:00:00,Sport-PE,PE,Atletico-MG,MG,1,1,2017,28,E
2017-10-15 17:00:00,Atletico-GO,GO,Palmeiras-SP,SP,1,3,2017,28,D
2017-10-15 17:00:00,Chapecoense-SC,SC,Flamengo-RJ,RJ,0,1,2017,28,D
2017-10-15 19:00:00,Coritiba-PR,PR,Gremio-RS,RS,0,1,2017,28,D
2017-10-15 19:00:00,Bahia-BA,BA,Corinthians-SP,SP,2,0,2017,28,V
2017-10-16 20:00:00,Santos-SP,SP,Vitoria-BA,BA,2,2,2017,28,E
2017-10-18 19:30:00,Atletico-GO,GO,Vasco da Gama-RJ,RJ,0,1,2017,29,D
2017-10-18 19:30:00,Coritiba-PR,PR,Cruzeiro-MG,MG,1,0,2017,29,V
2017-10-18 21:00:00,Atletico-MG,MG,Chapecoense-SC,SC,2,3,2017,29,D
2017-10-18 21:45:00,Avai-SC,SC,Botafogo-RJ,RJ,1,1,2017,29,E
2017-10-18 21:45:00,Fluminense-RJ,RJ,Sao Paulo-SP,SP,3,1,2017,29,V
2017-10-18 21:45:00,Corinthians-SP,SP,Gremio-RS,RS,0,0,2017,29,E
2017-10-19 20:00:00,Palmeiras-SP,SP,Ponte Preta-SP,SP,2,0,2017,29,V
2017-10-19 20:00:00,Vitoria-BA,BA,Atletico-PR,PR,2,3,2017,29,D
2017-10-19 21:00:00,Flamengo-RJ,RJ,Bahia-BA,BA,4,1,2017,29,V
2017-10-19 21:00:00,Sport-PE,PE,Santos-SP,SP,1,1,2017,29,E
2017-10-21 17:00:00,Vasco da Gama-RJ,RJ,Coritiba-PR,PR,1,1,2017,30,E
2017-10-22 17:00:00,Atletico-PR,PR,Sport-PE,PE,2,1,2017,30,V
2017-10-22 17:00:00,Sao Paulo-SP,SP,Flamengo-RJ,RJ,2,0,2017,30,V
2017-10-22 17:00:00,Cruzeiro-MG,MG,Atletico-MG,MG,1,3,2017,30,D
2017-10-22 17:00:00,Gremio-RS,RS,Palmeiras-SP,SP,1,3,2017,30,D
2017-10-22 17:00:00,Bahia-BA,BA,Vitoria-BA,BA,2,1,2017,30,V
2017-10-22 17:00:00,Santos-SP,SP,Atletico-GO,GO,1,0,2017,30,V
2017-10-22 19:00:00,Ponte Preta-SP,SP,Avai-SC,SC,1,2,2017,30,D
2017-10-22 19:00:00,Chapecoense-SC,SC,Fluminense-RJ,RJ,2,0,2017,30,V
2017-10-23 20:00:00,Botafogo-RJ,RJ,Corinthians-SP,SP,2,1,2017,30,V
2017-10-28 17:00:00,Sao Paulo-SP,SP,Santos-SP,SP,2,1,2017,31,V
2017-10-28 19:00:00,Flamengo-RJ,RJ,Vasco da Gama-RJ,RJ,0,0,2017,31,E
2017-10-28 21:00:00,Atletico-PR,PR,Chapecoense-SC,SC,0,0,2017,31,E
2017-10-29 17:00:00,Fluminense-RJ,RJ,Bahia-BA,BA,1,1,2017,31,E
2017-10-29 17:00:00,Atletico-MG,MG,Botafogo-RJ,RJ,0,0,2017,31,E
2017-10-29 17:00:00,Ponte Preta-SP,SP,Corinthians-SP,SP,1,0,2017,31,V
2017-10-29 18:00:00,Sport-PE,PE,Coritiba-PR,PR,3,4,2017,31,D
2017-10-29 18:00:00,Vitoria-BA,BA,Atletico-GO,GO,1,1,2017,31,E
2017-10-29 19:00:00,Avai-SC,SC,Gremio-RS,RS,2,2,2017,31,E
2017-10-30 20:00:00,Palmeiras-SP,SP,Cruzeiro-MG,MG,2,2,2017,31,E
2017-11-04 17:00:00,Santos-SP,SP,Atletico-MG,MG,3,1,2017,32,V
2017-11-04 19:00:00,Botafogo-RJ,RJ,Fluminense-RJ,RJ,1,2,2017,32,D
2017-11-04 19:00:00,Atletico-GO,GO,Sao Paulo-SP,SP,0,1,2017,32,D
2017-11-04 21:00:00,Coritiba-PR,PR,Avai-SC,SC,4,0,2017,32,V
